Caltech Behavior Annotator - Annotation File

Configuration file:
other	o
attack	a
approach	b
chasing	c
dig	d
escape	e
general-sniffing	f
sniff_female	p
sniff_face	w
selfgrooming	g
socialgrooming	h
defend	i
exploreobj	j
climb	k
follow	l
mount	m
biteobj	n
flinch	r
stand	s
punch	t
threaten	u
follow_female	v
human_interfere	x
tussling	y

S1:	start	end	type
   	7388	7409	punch
   	7410	7434	escape
   	7435	7493	other
   	7494	7584	sniff_female
   	7585	7637	other
   	7638	7788	sniff_female
   	7789	7822	follow_female
   	7823	7907	other
   	7908	7946	sniff_female
   	7947	8322	other
   	8323	8327	sniff_female
   	8328	8371	other
   	8372	8381	sniff_female
   	8382	8543	other
   	8544	8570	follow_female
   	8571	8585	sniff_female
   	8586	8737	other
   	8738	8759	approach
   	8760	8768	general-sniffing
   	8769	8793	punch
   	8794	8957	other
   	8958	8974	selfgrooming
   	8975	8988	other
   	8989	9011	approach
   	9012	9017	general-sniffing
   	9018	9023	punch
   	9024	9036	other
   	9037	9059	punch
   	9060	9097	other
   	9098	9107	punch
   	9108	9225	other
   	9226	9236	approach
   	9237	9250	general-sniffing
   	9251	9257	punch
   	9258	9269	other
   	9270	9345	general-sniffing
   	9346	9366	other
   	9367	9398	punch
   	9399	9407	escape
   	9408	9446	other
   	9447	9518	approach
   	9519	9546	punch
   	9547	9561	escape
   	9562	9723	other
   	9724	9737	punch
   	9738	9774	other
   	9775	9805	follow_female
   	9806	9826	sniff_female
   	9827	9838	punch
   	9839	9853	escape
   	9854	9957	other
   	9958	9979	escape
   	9980	10047	other
   	10048	10077	flinch
   	10078	10084	sniff_face
   	10085	10099	flinch
   	10100	10156	escape
   	10157	10345	other
   	10346	10361	general-sniffing
   	10362	10404	other
   	10405	10412	punch
   	10413	10432	other
   	10433	10440	general-sniffing
   	10441	10486	escape
   	10487	10524	other
   	10525	10574	follow_female
   	10575	10644	sniff_female
   	10645	10696	other
   	10697	10703	sniff_female
   	10704	11121	other
   	11122	11167	follow_female
   	11168	11174	sniff_female
   	11175	11526	other
   	11527	11533	sniff_face
   	11534	11584	punch
   	11585	11691	other
   	11692	11717	selfgrooming
   	11718	11731	other
   	11732	11750	punch
   	11751	11765	other
   	11766	11775	punch
   	11776	11796	other
   	11797	11815	punch
   	11816	11826	other
   	11827	11841	punch
   	11842	11941	other
   	11942	11962	sniff_female
   	11963	11974	punch
   	11975	11983	sniff_female
   	11984	12094	other
