Caltech Behavior Annotator - Annotation File

Configuration file:
other o
attack a
approach b
chasing c
dig d
escape e
general-sniffing f
sniff_genital p
sniff_face w
selfgrooming g
socialgrooming h
defend i
exploreobj j
climb k
follow l
mount m
biteobj n
flinch r
stand s
punch t
threaten u
interaction v
human_interfere x
tussling y

S1: start    end     type
   25366   25375    other
   25376   25421    stand
   25422   25460    other
   25461   25611    climb
   25612   25677    other
   25678   25740    stand
   25741   25927    other
   25928   25940    sniff_face
   25941   25947    threaten
   25948   26130    other
   26131   26188    dig
   26189   26240    other
   26241   26338    dig
   26339   26367    other
   26368   26408    dig
   26409   26428    selfgrooming
   26429   26477    other
   26478   26626    dig
   26627   26652    other
   26653   26703    dig
   26704   26716    other
   26717   26738    dig
   26739   26746    approach
   26747   26765    other
   26766   26837    dig
   26838   26858    approach
   26859   26866    sniff_face
   26867   26903    stand
   26904   26963    other
   26964   27050    stand
   27051   27077    other
   27078   27175    stand
   27176   27188    other
   27189   27230    stand
   27231   27298    other
   27299   27333    selfgrooming
   27334   27382    other
   27383   27412    approach
   27413   27441    other
   27442   27496    stand
   27497   27508    other
   27509   27537    stand
   27538   27625    other
   27626   27654    approach
   27655   27700    other
   27701   27710    threaten
   27711   27757    other
   27758   27770    flinch
   27771   27803    defend
   27804   27843    other
   27844   27853    sniff_face
   27854   27956    other
   27957   27960    sniff_face
   27961   27983    approach
   27984   28156    other
   28157   28172    stand
   28173   28186    approach
   28187   28321    other
   28322   28329    defend
   28330   28418    other
   28419   28454    stand
   28455   28464    other
   28465   28497    stand
   28498   28516    other
   28517   28558    climb
   28559   28568    other
   28569   28642    climb
   28643   28660    other
   28661   28702    stand
   28703   28739    other
   28740   28778    dig
   28779   28796    selfgrooming
   28797   28872    stand
   28873   28890    climb
   28891   29041    other
   29042   29063    dig
   29064   29145    other
   29146   29156    sniff_face
   29157   29224    other
   29225   29268    dig
   29269   29317    other
   29318   29320    sniff_face
   29321   29335    other
   29336   29377    approach
   29378   29387    threaten
   29388   29402    escape
   29403   29423    other
   29424   29478    stand
   29479   29493    other
   29494   29525    climb
   29526   29578    other
   29579   29604    stand
   29605   29657    other
   29658   29770    dig
   29771   29807    other
   29808   29830    dig
   29831   29935    other
   29936   29956    approach
   29957   29965    sniff_face
   29966   29981    other
   29982   30001    approach
   30002   30026    escape
   30027   30029    other
   30030   30066    stand
   30067   30114    other
   30115   30189    dig
   30190   30196    other
   30197   30212    selfgrooming
   30213   30216    other
   30217   30308    dig
   30309   30329    stand
   30330   30342    other
   30343   30370    dig
   30371   30374    sniff_face
